"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001620970;4;"https://www.tarcisiosilva.com.br"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001652598;2;"https://www.instagram.com/mmauricioleite/"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001621163;1;"https://www.instagram.com/lubianabarrigueira40"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001650198;2;"https://www.whatsapp.com"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001620975;5;"https://www.youtube.com/user/FolettoPaulo"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001719422;1;"https://jackrocha1300.com.br"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001609920;1;"https://www.instagram.com/renato_machadovereador/"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001604731;6;"https://instagram.com/dr.victorlinhalis"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001609414;1;"https://instagram.com/soraiachiabai"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001721262;5;"https://twitter.com/manato_es?s=11&t=-ZpShrYjUF74WlwODvjVdQ"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001721262;5;"https://twitter.com/manato_es?s=11&t=-ZpShrYjUF74WlwODvjVdQ"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001609414;2;"https://www.facebook.com/soraia.chiabai"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001604488;2;"https://www.facebook.com/palloma.daher"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001609910;1;"https://www.facebook.com/sergiocamilogomesoficial"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001654081;3;"https://twitter.com/mussoerick"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001654081;4;"https://youtube.com/c/ErickMusso"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001654081;5;"https://www.erickmusso.com.br"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001611830;1;"https://instagram.com/raphaelamoraes9?igshid=YmMyMTA2M2Y="
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001609894;1;"https://www.instagram.com/edgardoesporte/"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001719706;2;"https://Twitter:@ManoelBezerra43"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001719318;1;"https://www.coronelramalho.com"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001721630;1;"https://www.facebook.com/aurelio.ferreguetti"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001609908;1;"https://www.instagram.com/coronel_rogerio/"
"10/04/2023";"19:43:33";2022;"ES";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";80001609904;2;"https://www.facebook.com/lilian.regina.773776"
