"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"SG_UF";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"SQ_CANDIDATO";"NR_ORDEM";"DS_URL"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001603561;3;"http://michellysiqueira.com.br/"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001603590;1;"https://www.facebook.com/rancho.klibas"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001598571;1;"https://instagram.com/https://instagram.com/gianzappellanovo?igshid=YmMyMTA2M2Y="
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001598573;5;"https://www.tiktok.com/@@heliolopesnovo"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001598573;7;"https://www.linkedin.com/in/heliolopesnovo"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001613301;1;"https://www.facebook.com/meirebarreir"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001613301;4;"https://www.youtube.com/channel/UCUmaNGbdqUBgXwZvKvqYVYw"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001607378;2;"https://www.facebook.com/leleco.freitas"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001653506;1;"https://instagram.com/mariana.up?igshid=YmMyMTA2M2Y="
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001611008;3;"https://www.facebook.com/TVBolsonaroPresidenteJMB2022"
"10/04/2023";"19:43:33";2022;"MG";2;"ELEIÇÃO ORDINÁRIA";546;"ELEIÇÕES GERAIS ESTADUAIS 2022";130001615278;2;"https://www.instagram.com/soldadorimarica"
